Event Time,Segment,City,State,Region,Category,Product,Sales,Quantity,Discount,Profit
2025/4/27,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.9136
2025/6/15,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0,219.582
2025/6/15,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0,6.8714
2025/12/9,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031
2024/5/31,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164
2023/10/27,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0,14.1694
2023/10/27,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0,1.9656
2023/10/27,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152
2023/10/27,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825
2023/10/27,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0,34.47
2022/12/22,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092
2025/6/1,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568
2023/6/5,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432
2023/6/5,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922
2023/6/5,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858
2024/11/22,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816
2024/11/22,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.3176
2025/10/2,Consumer,West Jordan,Utah,West,West,Storage,55.5,2,0,9.99
2025/10/2,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0,2.4824
2025/10/2,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011
2025/10/2,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384
2025/10/2,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.0596
2025/10/2,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.6884
2025/10/2,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196
2024/6/7,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0,240.2649
2024/6/7,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224
2024/6/7,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0,11.7741
2024/6/7,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
2024/6/7,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532
2024/6/7,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525
2024/6/7,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016
2025/12/12,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092
2025/9/28,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715
2025/9/28,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546
2024/11/19,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468
2024/2/28,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737
2024/9/3,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963
2024/9/17,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415
2024/9/17,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764
2024/9/17,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147
2024/7/2,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564
2024/7/26,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564
2024/12/24,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0,3.894
2022/5/17,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616
2022/5/17,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0,19.7714
2024/7/16,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0,8.2062
2024/6/16,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0,8.4784
2024/6/16,Consumer,Dover,Delaware,East,Technology,Accessories,45,3,0,4.95
2024/6/16,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0,6.104
2025/6/19,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0,17.9634
2025/6/19,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0,35.3346
2025/6/19,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0,2.9568
2024/5/22,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0,17.0981
2024/5/22,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0,6.2566
2024/5/22,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0,298.6855
2024/12/31,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0,52.14
2024/12/31,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0,15.552
2024/12/31,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098
2024/10/1,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0,6.9888
2025/11/16,Consumer,Troy,New York,East,Technology,Accessories,30,2,0,3.3
2022/8/24,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362
2024/6/7,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0,0.84
2022/1/21,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0,6.1512
2022/1/21,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612
2025/9/15,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0,68.9631
2022/12/19,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0,22.3328
2022/10/31,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225
2022/10/31,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024
2024/3/11,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988
2023/9/27,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0,35.6636
2023/9/15,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731
2023/9/15,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0,8.763
2025/10/26,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912
2025/10/26,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213
2025/10/26,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196
2022/2/2,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344
2022/12/23,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248
2022/12/23,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724
2022/12/23,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475
2024/3/11,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0,56.2032
2024/3/11,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0,8.0352
2024/8/8,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0,4.172
2023/8/22,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0,6.2031
2023/8/22,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075
2022/6/1,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549
2022/6/1,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0,33.2156
2025/5/28,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0,6.7966
2024/7/26,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0,2.9568
2022/12/14,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572
2022/11/17,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0,6.633
2022/11/17,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782
2022/11/17,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0,3.1104
2022/11/17,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0,6.2208
2025/5/21,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0,16.5354
2025/5/21,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0,16.1504
2025/5/21,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788
2025/5/21,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,0,40.5426
2025/5/21,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592
2025/11/10,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0,22.5852
2023/1/25,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184
2023/1/25,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973
2025/11/14,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396
2025/10/23,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0,11.7208
2025/10/23,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758
2025/10/23,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385
2023/10/10,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174
2023/10/10,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016
2024/10/17,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994
2024/10/17,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738
2025/9/12,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992
2024/8/5,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,0,10.9096
2025/1/28,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0,22.788
2025/5/20,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0,13.3476
2024/6/22,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348
2024/6/22,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652
2025/2/21,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925
2025/2/21,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316
2023/10/8,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0,165.3813
2023/10/8,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156
2023/10/8,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0,18.3456
2023/10/8,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0,13.878
2023/10/8,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0,63.4368
2023/10/8,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0,51.759
2023/10/8,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,0,19.7316
2023/10/8,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794
2023/2/15,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682
2022/12/24,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308
2024/2/27,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499
2025/9/11,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602
2025/9/11,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0,26.2416
2023/7/17,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994
2024/11/12,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364
2024/11/12,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732
2025/1/17,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0,9.6192
2023/10/5,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0,16.6568
2023/10/5,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0,3.456
2023/10/5,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0,1.9698
2023/2/16,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616
2025/4/9,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0,18.4464
2025/4/9,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,0,20.6976
2022/10/28,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35
2024/4/16,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0,2.3814
2025/12/4,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0,5.1042
